planner,env_seed,run,seed,obstacle_seed,resample_attempt,termination_mode,time_limit_per_leg,success,solve_time_s,simplify_time_s,total_time_s,total_length_se3,total_length_xyz
PRMstar,2,0,212345,2000000,0,first_solution,1.000,1,5.007829,0.000400,5.008230,28.194634,24.643532
RRTstar,2,0,212345,2000000,0,first_solution,1.000,1,5.001372,0.000409,5.001781,27.186607,24.474167
BITstar,2,0,212345,2000000,0,first_solution,1.000,1,3.082068,0.000614,3.082683,27.792939,24.336219
RRTConnect,2,1,213345,2000000,0,first_solution,1.000,1,0.001672,0.000947,0.002619,33.553998,24.655064
PRMstar,2,1,213345,2000000,0,first_solution,1.000,1,5.007776,0.009363,5.017139,27.337845,24.258879
RRTstar,2,1,213345,2000000,0,first_solution,1.000,1,5.001561,0.009379,5.010940,28.142677,24.270169
BITstar,2,1,213345,2000000,0,first_solution,1.000,1,3.065718,0.000574,3.066292,28.075836,24.429085
RRTConnect,2,2,214345,2000000,0,first_solution,1.000,1,0.000531,0.000764,0.001294,39.484360,32.798186
PRMstar,2,2,214345,2000000,0,first_solution,1.000,1,5.005550,0.000494,5.006044,28.383654,24.259498
RRTstar,2,2,214345,2000000,0,first_solution,1.000,1,5.001333,0.002124,5.003458,28.121896,24.801086
BITstar,2,2,214345,2000000,0,first_solution,1.000,1,3.000643,0.000496,3.001139,27.105412,24.554806
RRTConnect,2,3,215345,2000000,0,first_solution,1.000,1,0.001066,0.001108,0.002174,41.649319,32.460785
PRMstar,2,3,215345,2000000,0,first_solution,1.000,1,5.007582,0.000526,5.008108,27.557875,24.308385
RRTstar,2,3,215345,2000000,0,first_solution,1.000,1,5.002238,0.000570,5.002808,28.207040,24.856879
BITstar,2,3,215345,2000000,0,first_solution,1.000,1,3.011705,0.000535,3.012240,27.512183,24.582509
RRTConnect,2,4,216345,2000000,0,first_solution,1.000,1,0.003665,0.000987,0.004652,32.066389,26.071906
PRMstar,2,4,216345,2000000,0,first_solution,1.000,1,5.005838,0.000543,5.006381,28.039898,24.505648
RRTstar,2,4,216345,2000000,0,first_solution,1.000,1,5.001285,0.000466,5.001751,26.857393,24.476334
BITstar,2,4,216345,2000000,0,first_solution,1.000,1,3.052642,0.000485,3.053127,27.291225,24.249200
RRTConnect,2,5,217345,2000000,0,first_solution,1.000,1,0.000679,0.000886,0.001565,38.997022,32.042592
PRMstar,2,5,217345,2000000,0,first_solution,1.000,1,5.007866,0.000552,5.008418,27.682334,24.437332
RRTstar,2,5,217345,2000000,0,first_solution,1.000,1,5.001724,0.000485,5.002210,27.945628,24.351049
BITstar,2,5,217345,2000000,0,first_solution,1.000,1,3.084841,0.000599,3.085441,28.388458,24.530143
RRTConnect,2,6,218345,2000000,0,first_solution,1.000,1,0.001431,0.001039,0.002470,40.328649,33.281644
PRMstar,2,6,218345,2000000,0,first_solution,1.000,1,5.008041,0.000554,5.008596,29.235645,24.488916
RRTstar,2,6,218345,2000000,0,first_solution,1.000,1,5.001804,0.000547,5.002351,27.574848,24.331699
BITstar,2,6,218345,2000000,0,first_solution,1.000,1,3.049939,0.000570,3.050509,26.713132,24.219190
RRTConnect,2,7,219345,2000000,0,first_solution,1.000,1,0.002566,0.000830,0.003396,31.591156,25.907639
PRMstar,2,7,219345,2000000,0,first_solution,1.000,1,5.006303,0.000541,5.006843,27.797421,24.874960
RRTstar,2,7,219345,2000000,0,first_solution,1.000,1,5.001971,0.000597,5.002568,27.628077,24.665155
BITstar,2,7,219345,2000000,0,first_solution,1.000,1,3.018909,0.000585,3.019494,28.075818,24.791626
RRTConnect,2,8,220345,2000000,0,first_solution,1.000,1,0.001600,0.000909,0.002509,31.448446,25.453822
